id,county_id,calendar_year,base_estimate,population_estimate,population_change,births,deaths,natural_change,international_migration,domestic_migration,net_migration,residual,gq_base_estimate,gq_estimate
10378,11488,2020,19594,19620,26,57,53,,0,22,22,0,322,322
10379,11489,2020,75587,75556,-31,227,242,,2,-14,-12,-4,765,765
10380,11490,2020,16866,16755,-111,30,80,,0,-59,-59,-2,223,223
10381,11491,2020,13911,13884,-27,47,75,,0,1,1,0,145,145
10382,11492,2020,40343,40236,-107,92,126,,0,-72,-72,-1,2420,2420
10383,11493,2020,56231,56277,46,146,200,,-1,102,101,-1,291,291
10384,11494,2020,30066,30102,36,63,103,,0,82,82,-6,335,335
10385,11495,2020,9666,9643,-23,24,34,,-1,-13,-14,1,1141,1141
10386,11496,2020,310639,311419,780,981,789,,-1,572,571,17,11821,11821
10387,11497,2020,33147,33075,-72,94,122,,0,-44,-44,0,2045,2045
10388,11499,2020,921130,922828,1698,2784,2125,,40,969,1009,30,20421,20421
10389,11500,2020,19149,19146,-3,80,58,,4,-28,-24,-1,601,601
10390,11501,2020,1654,1647,-7,2,7,,0,-2,-2,0,22,22
10391,11502,2020,36039,36024,-15,116,123,,0,-7,-7,-1,286,286
10392,11503,2020,2825,2801,-24,2,14,,0,-11,-11,-1,22,22
10393,11504,2020,24738,24923,185,63,69,,0,193,193,-2,158,158
10394,11505,2020,172891,172890,-1,417,486,,1,72,73,-5,3303,3303
10395,11507,2020,82,82,0,0,0,,0,0,0,0,3,3
10396,11508,2020,15193,15165,-28,39,32,,0,-37,-37,2,1906,1906
10397,11509,2020,28837,28834,-3,80,118,,0,36,36,-1,218,218
10398,11510,2020,8940,8922,-18,26,21,,0,-21,-21,-2,494,494
10399,11511,2020,32730,32719,-11,92,63,,0,-39,-39,-1,7605,7605
10400,11512,2020,31353,31429,76,67,105,,-1,118,117,-3,114,114
10401,11513,2020,77093,76985,-108,187,301,,0,9,9,-3,5269,5269
10402,11514,2020,46738,46756,18,118,134,,0,34,34,0,433,433
10403,11515,2020,116530,116361,-169,408,444,,0,-135,-135,2,3368,3368
10404,11516,2020,41072,41089,17,76,122,,-1,68,67,-4,826,826
10405,11517,2020,21488,21460,-28,53,63,,0,-17,-17,-1,1608,1608
10406,11518,2020,7260,7254,-6,18,15,,0,-9,-9,0,361,361
10407,11519,2020,8484,8459,-25,15,46,,0,7,7,-1,74,74
10408,11520,2020,98584,98593,9,248,320,,4,79,83,-2,3551,3551
10409,11521,2020,3258,3269,11,8,12,,0,15,15,0,217,217
10410,11522,2020,70152,70220,68,141,282,,-1,214,213,-4,1622,1622
10411,11525,2020,185314,185902,588,518,523,,2,585,587,6,470,470
10412,11526,2020,165171,165467,296,750,368,,3,-105,-102,16,2234,2234
10413,11527,2020,2956,2944,-12,10,12,,0,-10,-10,0,51,51
10414,11529,2020,4055,4045,-10,11,19,,0,-3,-3,1,105,105
10415,11531,2020,5382,5362,-20,21,11,,0,-30,-30,0,1082,1082
10416,11534,2020,28907,28877,-30,71,91,,0,-6,-6,-4,476,476
10417,11535,2020,9185,9153,-32,25,44,,0,-13,-13,0,264,264
10418,11536,2020,38065,38077,12,124,130,,0,18,18,0,1553,1553
10419,11538,2020,4681,4676,-5,11,20,,0,5,5,-1,46,46
10420,11539,2020,57155,57477,322,194,154,,0,277,277,5,983,983
10421,11541,2020,1855,1847,-8,4,9,,0,-3,-3,0,0,0
10422,11542,2020,2447,2442,-5,7,11,,0,0,0,-1,24,24
