id,iso2_region_code,iso3_region_code,code3,fips,county,state_or_province,country_or_region,latitude,longitude
10099,US,USA,840,41041.0,Lincoln,Oregon,US,44.64252874,-123.86991200000001
10100,US,USA,840,31079.0,Hall,Nebraska,US,40.87257079,-98.50218293
10101,US,USA,840,1063.0,Greene,Alabama,US,32.85504247,-87.95684022
10102,US,USA,840,6105.0,Trinity,California,US,40.64917670000001,-123.114713
10103,US,USA,840,8037.0,Eagle,Colorado,US,39.62754308,-106.6933637
10104,US,USA,840,39021.0,Champaign,Ohio,US,40.13923427,-83.76875242
10105,US,USA,840,20009.0,Barton,Kansas,US,38.47889676,-98.75636726
10106,US,USA,840,28021.0,Claiborne,Mississippi,US,31.97061673,-90.90702196
10107,US,USA,840,80011.0,Out of DC,District of Columbia,US,0,0
10108,US,USA,840,18015.0,Carroll,Indiana,US,40.580783200000006,-86.56198812
10109,US,USA,840,47045.0,Dyer,Tennessee,US,36.05931946,-89.41542855
10110,US,USA,840,55035.0,Eau Claire,Wisconsin,US,44.726614,-91.28609183
10111,US,USA,840,13183.0,Long,Georgia,US,31.75218791,-81.74952375
10112,US,USA,840,13253.0,Seminole,Georgia,US,30.93464824,-84.86823924
10113,US,USA,840,36035.0,Fulton,New York,US,43.11363907,-74.41798804
10114,US,USA,840,35007.0,Colfax,New Mexico,US,36.60569702,-104.64726740000002
10115,US,USA,840,26075.0,Jackson,Michigan,US,42.24807035,-84.42258681
10116,US,USA,840,23013.0,Knox,Maine,US,44.11486325,-69.10529169
10117,US,USA,840,29151.0,Osage,Missouri,US,38.46036182,-91.8613635
10118,US,USA,840,51133.0,Northumberland,Virginia,US,37.89202088,-76.41949732
10119,US,USA,840,39089.0,Licking,Ohio,US,40.09136236,-82.48185785
10120,US,USA,840,13105.0,Elbert,Georgia,US,34.11302332,-82.83936148
10121,US,USA,840,54095.0,Tyler,West Virginia,US,39.46811972,-80.88772676
10122,US,USA,840,6025.0,Imperial,California,US,33.0393082,-115.36690420000001
10123,US,USA,840,36095.0,Schoharie,New York,US,42.58831742,-74.44339029999998
10124,US,USA,840,30071.0,Phillips,Montana,US,48.25936577,-107.9128511
10125,US,USA,840,31183.0,Wheeler,Nebraska,US,41.91482725,-98.52798941
10126,US,USA,840,27167.0,Wilkin,Minnesota,US,46.35721532,-96.4684375
10127,US,USA,840,51730.0,Petersburg,Virginia,US,37.20530399,-77.39368102
10128,US,USA,840,42095.0,Northampton,Pennsylvania,US,40.75182733,-75.30471829
10129,US,USA,840,6103.0,Tehama,California,US,40.12570935,-122.23701709999999
10130,US,USA,840,8049.0,Grand,Colorado,US,40.10603347,-106.11780420000001
10131,US,USA,840,56025.0,Natrona,Wyoming,US,42.96180148,-106.79788500000001
10132,US,USA,840,48007.0,Aransas,Texas,US,28.10556197,-96.9995047
10133,US,USA,840,12079.0,Madison,Florida,US,30.44396917,-83.47398594
10134,US,USA,840,40137.0,Stephens,Oklahoma,US,34.48556989,-97.85141892
10135,US,USA,840,20013.0,Brown,Kansas,US,39.82652589,-95.56421698
10136,US,USA,840,29111.0,Lewis,Missouri,US,40.09673161,-91.72070156
10137,US,USA,840,30073.0,Pondera,Montana,US,48.22773388,-112.22527029999999
10138,US,USA,840,48455.0,Trinity,Texas,US,31.0879489,-95.1367187
10139,US,USA,840,48011.0,Armstrong,Texas,US,34.96507426,-101.35748740000001
10140,US,USA,840,28077.0,Lawrence,Mississippi,US,31.55147224,-90.10841127
10141,PR,PRI,630,72109.0,Patillas,Puerto Rico,US,18.03174,-66.012242
10142,US,USA,840,37149.0,Polk,North Carolina,US,35.27820615,-82.16812354
10143,US,USA,840,51790.0,Staunton,Virginia,US,38.15965544,-79.05979937
10144,US,USA,840,42053.0,Forest,Pennsylvania,US,41.51095103,-79.23229292
10145,US,USA,840,29079.0,Grundy,Missouri,US,40.11406587,-93.56509276
10146,US,USA,840,21115.0,Johnson,Kentucky,US,37.85106355,-82.8264322
10147,US,USA,840,45031.0,Darlington,South Carolina,US,34.33358335,-79.96027485
10148,US,USA,840,80042.0,Out of PA,Pennsylvania,US,0,0
10149,US,USA,840,41063.0,Wallowa,Oregon,US,45.57894064,-117.18353799999998
10150,US,USA,840,26071.0,Iron,Michigan,US,46.20974132,-88.53136251
10151,US,USA,840,13307.0,Webster,Georgia,US,32.04066113,-84.54742852
10152,US,USA,840,5071.0,Johnson,Arkansas,US,35.56759135,-93.46036368
10153,US,USA,840,19125.0,Marion,Iowa,US,41.33445101,-93.09934783
10154,US,USA,840,38083.0,Sheridan,North Dakota,US,47.57700669,-100.3426391
10155,US,USA,840,34003.0,Bergen,New Jersey,US,40.96010917,-74.07164325
10156,US,USA,840,21047.0,Christian,Kentucky,US,36.89267803,-87.49055367
10157,US,USA,840,32003.0,Clark,Nevada,US,36.21458855,-115.0130241
10158,US,USA,840,45003.0,Aiken,South Carolina,US,33.54338026,-81.63645384
10159,US,USA,840,38061.0,Mountrail,North Dakota,US,48.20197971,-102.3555315
10160,US,USA,840,17021.0,Christian,Illinois,US,39.54581621,-89.27780482
10161,US,USA,840,21107.0,Hopkins,Kentucky,US,37.30939025,-87.54670406
10162,US,USA,840,1013.0,Butler,Alabama,US,31.75300095,-86.68057478
10163,US,USA,840,40029.0,Coal,Oklahoma,US,34.58840127,-96.29798747
10164,US,USA,840,48035.0,Bosque,Texas,US,31.89978581,-97.63613524
10165,US,USA,840,38043.0,Kidder,North Dakota,US,46.97830064,-99.77507857
10166,US,USA,840,27159.0,Wadena,Minnesota,US,46.58589171,-94.96968506
10167,US,USA,840,39101.0,Marion,Ohio,US,40.58610662,-83.15736305
10168,US,USA,840,20169.0,Saline,Kansas,US,38.78369175,-97.65185177
10169,US,USA,840,23021.0,Piscataquis,Maine,US,45.83839062,-69.2860223
10170,US,USA,840,19113.0,Linn,Iowa,US,42.07923082,-91.59809485
10171,US,USA,840,19095.0,Iowa,Iowa,US,41.68630265,-92.0643373
10172,US,USA,840,29123.0,Madison,Missouri,US,37.47865134,-90.34671429999999
10173,US,USA,840,55129.0,Washburn,Wisconsin,US,45.89838588,-91.79050449
10174,US,USA,840,48419.0,Shelby,Texas,US,31.79211404,-94.14550696
10175,US,USA,840,29229.0,Wright,Missouri,US,37.27029221,-92.46914488
10176,US,USA,840,25001.0,Barnstable,Massachusetts,US,41.72980578,-70.28854339
10177,PR,PRI,630,72031.0,Carolina,Puerto Rico,US,18.374986,-65.95683100000001
10178,US,USA,840,19087.0,Henry,Iowa,US,40.98767962,-91.54436349
10179,US,USA,840,48399.0,Runnels,Texas,US,31.8314342,-99.97616148
10180,US,USA,840,40115.0,Ottawa,Oklahoma,US,36.83532655,-94.81011909
10181,US,USA,840,28105.0,Oktibbeha,Mississippi,US,33.42491685,-88.87905132
10182,US,USA,840,48307.0,McCulloch,Texas,US,31.1925468,-99.34682807
10183,US,USA,840,51760.0,Richmond City,Virginia,US,37.53255773,-77.47966921
10184,US,USA,840,16077.0,Power,Idaho,US,42.69254894,-112.83957420000002
10185,US,USA,840,29085.0,Hickory,Missouri,US,37.94163617,-93.3203037
10186,US,USA,840,40017.0,Canadian,Oklahoma,US,35.5426055,-97.98465569
10187,US,USA,840,20141.0,Osborne,Kansas,US,39.3503437,-98.76753828
10188,US,USA,840,48411.0,San Saba,Texas,US,31.1577796,-98.81758731
10189,US,USA,840,55001.0,Adams,Wisconsin,US,43.96974651,-89.76782777
10190,US,USA,840,42025.0,Carbon,Pennsylvania,US,40.91545395,-75.7068525
10191,US,USA,840,6007.0,Butte,California,US,39.66727762,-121.6005252
10192,US,USA,840,31067.0,Gage,Nebraska,US,40.26186809,-96.68946704
10193,US,USA,840,13265.0,Taliaferro,Georgia,US,33.56543317,-82.88136816
10194,US,USA,840,13015.0,Bartow,Georgia,US,34.23732119,-84.83887523
10195,US,USA,840,45061.0,Lee,South Carolina,US,34.16393091,-80.25690731
10196,US,USA,840,51550.0,Chesapeake,Virginia,US,36.67670048,-76.30545744
10197,US,USA,840,6081.0,San Mateo,California,US,37.422880799999994,-122.32755459999998
10198,US,USA,840,38103.0,Wells,North Dakota,US,47.58614526,-99.65904998
10199,US,USA,840,29187.0,St. Francois,Missouri,US,37.81214171,-90.47598685
10200,US,USA,840,28101.0,Newton,Mississippi,US,32.40021118,-89.11843336
10201,US,USA,840,22125.0,West Feliciana,Louisiana,US,30.87882871,-91.41485379999999
10202,US,USA,840,40119.0,Payne,Oklahoma,US,36.07695283,-96.97584944
10203,US,USA,840,29186.0,Ste. Genevieve,Missouri,US,37.89090059,-90.1949941
10204,US,USA,840,25015.0,Hampshire,Massachusetts,US,42.33997957,-72.65898478
10205,US,USA,840,21021.0,Boyle,Kentucky,US,37.62680923,-84.8633779
10206,US,USA,840,51085.0,Hanover,Virginia,US,37.7583355,-77.49464673
10207,US,USA,840,29207.0,Stoddard,Missouri,US,36.85571651,-89.9444155
10208,PR,PRI,630,72059.0,Guayanilla,Puerto Rico,US,18.039942,-66.79186
10209,US,USA,840,55067.0,Langlade,Wisconsin,US,45.26271619,-89.07483625
10210,US,USA,840,22119.0,Webster,Louisiana,US,32.70847669,-93.33121835
10211,US,USA,840,30015.0,Chouteau,Montana,US,47.88084126,-110.4353362
10212,US,USA,840,47079.0,Henry,Tennessee,US,36.33160906,-88.30121797
10213,US,USA,840,17177.0,Stephenson,Illinois,US,42.35129217,-89.662598
10214,US,USA,840,4012.0,La Paz,Arizona,US,33.72854224,-113.98100290000001
