"primary_song_artist_id","primary_song_artist"
224,"Jason Mraz"
225,"The Temptations"
226,"The Cure"
227,"Quantic & Nikodemus"
228,"David Sanborn"
229,"Donovan"
230,"Bob Wilson & his Varsity Rhythm Boys"
231,"Leona Lewis"
232,"LeAnn Rimes"
233,"Los Fabulosos Cadillacs"
234,"Angel & the Mambokats"
235,"Ryan Shaw"
236,"Heart"
237,"Bobby Darin"
238,"Liza Minnelli"
239,"Kaoma"
240,"Squirrel Nut Zippers"
241,"Harry Belafonte"
242,"Alberto Plaza"
243,"Pussycat Dolls"
244,"The Supremes"
245,"Della Reese"
246,"Chris De Burgh"
247,"Colbie Caillat"
248,"Flo Rida feat. T-Pain"
249,"Nina Simone"
250,"Randy Crawford"
251,"Lynyrd Skynyrd"
252,"The Guess Who"
253,"Billy Idol"
254,"Eartha Kitt"
255,"Van Morrison"
256,"Letters to Cleo"
257,"Sonora Carrulseles"
258,"The Arthur Murray Orchestra"
259,"Ike & Tina Turner"
260,"Semyon Bychkov & Orchestre de Paris"
261,"Jem"
262,"Rodrigo y Gabriela"
263,"Ella Fitzgerald"
264,"Billy Ray Cyrus"
265,"OutKast"
266,"Steve Lawrence"
267,"Roger Miller"
268,"Sir Mix-a-Lot"
269,"Letters To Cleo"
270,"En Vogue"
271,"Atomic Fireballs"
272,"Orquesta Color Tango de Roberto Alvarez"
273,"Otros Aires"
274,"Lalo Schifrin & Orchestra Ensemble"
275,"Ozzy Osbourne"
276,"Body Rockers"
277,"Conjunto Tipico Del Tango"
278,"Brian Setzer"
279,"Ástor Piazzolla"
280,"Barry White"
281,"A-ha"
282,"Karl Jenkins"
283,"Lou Rawls"
284,"Katy Perry"
285,"Connie Francis"
286,"Jessica Simpson"
287,"Perez Prado"
288,"Sarah Vaughan"
289,"Eddie Cochran"
290,"David Bowie & Mick Jagger"
291,"Dusty Springfield"
292,"Bond"
293,"Deniece Williams"
294,"Nelly feat. City Spud"
295,"James Morrison"
296,"Franz Ferdinand"
297,"Maurice Ravel"
298,"The Blues Brothers"
299,"Rosemary Clooney"
300,"Brian Setzer Orchestra"
301,"The Commodores"
302,"Spandau Ballet"
303,"Smash Mouth"
304,"John Powell"
305,"Nena"
306,"KT Tunstall"
307,"John Mayer"
308,"Diana Ross"
309,"No Doubt feat. Bounty Killer"
310,"Amy Winehouse"
311,"The Newbeats"
312,"The Tractors"
313,"Indigo Swing"
314,"The Trammps"
315,"Etta James"
316,"The Pussycat Dolls"
317,"Sérgio Mendes & The Black Eyed Peas"
318,"Desi Arnaz"
319,"Robert Johnson"
320,"Marc Broussard"
321,"Bill Haley & His Comets"
322,"Tom Jones"
323,"Sean Paul"
324,"Agustín Lara"
325,"Vanessa Carlton"
326,"The Pretenders"
327,"Johnny Cash"
328,"Ludwig van Beethoven"
329,"Alfred Hause's Tango Orchestra"
330,"Owl City & Carly Rae Jepsen"
331,"One Direction"
332,"Iggy Pop"
333,"Ashley Tisdale and Lucas Grabeel"
334,"Basement Jaxx"
335,"Screamin' Jay Hawkins"
336,"Charlotte Church"
337,"Rufus Wainwright"
338,"Dean Martin"
339,"Sammy Davis Jr."
340,"Benny Moré"
341,"Paolo Nutini"
342,"Astor Piazolla"
343,"KC and the Sunshine Band"
344,"Adam Ant"
345,"Alma Cogan"
346,"from Sweet Charity"
347,"LMFAO feat. Lauren Bennett & GoonRock"
348,"Kris Kross"
349,"The Andrews Sisters"
350,"Africando All Stars"
351,"Sam & Dave"
352,"John Altman"
353,"The Dandy Warhols"
354,"Thalía"
355,"Marc Shaiman"
356,"Lalo Schifrin"
357,"New Order"
358,"The Kinks"
359,"Sara Bareilles"
360,"Adele"
361,"Perry Como"
362,"Travis Tritt"
363,"Creedence Clearwater Revival"
364,"Kim Wilde"
365,"Robbie Williams"
366,"Peter Allen"
367,"Electric Club Tango"
368,"Club des Belugas"
369,"James Horner"
370,"Andrews Sisters"
371,"Will Smith"
372,"Dinah Washington"
373,"The Isley Brothers"
374,"Flo Rida feat. Sage the Gemini & Lookas"
375,"Meghan Trainor"
376,"Meco"
377,"Billy Fury"
378,"Dead or Alive"
379,"The United States Air Force Band and the Rockies"
380,"John Williams"
381,"Kreesha Turner"
382,"Canadian Brass"
383,"Twisted Sister"
384,"The Young Rascals"
385,"Diana Krall"
386,"Gretchen Wilson"
387,"Neon Trees"
388,"Louis Prima"
389,"Ram Jam"
390,"Glenn Frey"
391,"Secondhand Serenade"
392,"Fall Out Boy"
393,"Maroon 5"
394,"Chaka Khan"
395,"OMI"
396,"LunchMoney Lewis"
397,"The Romantics"
398,"Labelle"
399,"Georges Bizet"
400,"Fatboy Slim"
401,"Goo Goo Dolls"
402,"Astrud Gilberto"
403," Lipps Inc."
404,"Ella Fitzgerald and Chick Webb"
405,"Les Poppys"
406,"Tape Five"
407,"Nancy Sinatra"
408,"Gwen Stefani"
409,"Shaggy"
410,"Angela Via feat. Joe Budden"
411,"Deana Carter"
412,"Charlie Puth feat. Meghan Trainor"
413,"Carol Welsman"
414,"Katy Tiz"
415,"Mark Ronson feat. Bruno Mars"
416,"Ray Quinn feat. Ultra Love"
417,"Bon Jovi"
418,"The Hit Crew"
419,"Billy Paul"
420,"Jamiroquai"
421,"Eve"
422,"Daniel Bedingfield"
423,"El General"
424,"Richard Cheese"
425,"from Hairspray"
426,"Selena Gomez & The Scene"
427,"Kenny Rogers"
428,"David Guetta feat. Nicki Minaj, Bebe Rexha & Afrojack"
429,"Afrojack feat. Wrabel"
430,"Redfoo"
431,"OneRepublic"
432,"Olivia Newton-John"
433,"Hozier"
434,"Johnny Mathis"
435,"Timbaland feat. OneRepublic"
436,"Spice Girls"
437,"Marvin Gaye & Tammi Terrell"
438,"Jason Mraz & Colbie Caillat"
439,"Spin Doctors"
440,"Mark Ronson feat. Amy Winehouse"
441,"Beyoncé featuring Jay-Z"
442,"from The Phantom of the Opera"
443,"Manuel Penella"
444,"Anastacia"
445,"Kool and the Gang"
446,"Flo Rida feat. Robin Thicke & Verdine White"
447,"Pitbull & Ne-Yo"
448,"James Horner & Simon Rhodes"
449,"Wyclef Jean feat. Claudette Ortiz"
450,"Ruth Brown"
451,"David Bowie"
452,"Jordin Sparks & Chris Brown"
453,"The Emotions"
454,"Enrique Iglesias feat. Ludacris & DJ Frank E"
455,"Trans-X"
456,"Pixie Lott"
457,"Patti Page"
458,"The Eagles"
459,"Desperado Los Lobos & A Banderas"
460,"The Go-Go's"
461,"The Ides of March"
462,"Gladys Knight & the Pips"
463,"Florida Georgia Line feat. Luke Bryan"
464,"Jerry Lee Lewis"
465,"Katy Perry feat. Snoop Dogg"
466,"The Spinners"
467,"Unidad de Musica de la Guardia Real"
468,"Kat DeLuna feat. Elephant Man"
469,"Cyndi Lauper"
470,"Jessie J, Ariana Grande & Nicki Minaj"
471,"Rizzle Kicks"
472,"Sam Sparro"
473,"Maroon 5 featuring Christina Aguilera"
474,"Los Lobos featuring Antonio Banderas"
475,"George Michael"
476,"Robin Williams"
477,"Tavares"
478,"Consuelo Velázquez"
479,"Buena Vista Social Club"
480,"Bananarama"
481,"Martha and the Vandellas"
482,"Carlos Di Sarli"
483,"Steppenwolf"
484,"The Osmonds"
485,"Leonard Cohen"
486,"Kylie Minogue"
487,"Royal Crown Revue"
488,"from 42nd Street"
489,"The Police"
490,"Otros Aires Electronic Tango Orchestra"
491,"Tom Petty"
492,"Leo Sayer"
493,"Rochelle Diamante"
494,"The Knack"
495,"Gotye feat. Kimbra"
496,"Darius Rucker"
497,"Ed Sheeran"
498,"Corrine Bailey Rae"
499,"Reel 2 Real"
500,"Betty Everett"
501,"The Corrs"
502,"Cupid"
503,"Bryan Adams"
504,"Engelbert Humperdinck"
505,"Boyz II Men"
506,"Olly Murs"
507,"Snoop Dogg feat. Pharrell"
508,"Danny and the Juniors"
509,"The Pussycat Dolls feat. A. R. Rahman"
510,"Robin Thicke feat. Kendrick Lamar"
511,"Paul Anka"
512,"Bebel Gilberto"
513,"Sister Sledge"
514,"50 Cent"
515,"Erasure"
516,"Lauren Wood"
517,"The Manhattan Transfer"
518,"Angel Melendez"
519,"Cupid feat. B.o.B"
520,"Russell Watson"
521,"Sean Kingston"
522,"Bell Biv DeVoe"
523,"Keane"
524,"Chelo"
525,"Sarah McLachlan"
526,"Blake Shelton"
527,"AC/DC"
528,"Pitbull"
529,"Daddy Yankee"
530,"Julie Covington"
531,"T. Rex"
532,"Marvin Gaye and Kim Weston"
533,"Los Lonely Boys"
534,"Christa Behnke"
535,"Xavier Cugat"
536,"Robert Randolph and the Family Band"
537,"Johnny Pearson"
538,"Carly Rae Jepsen"
539,"Wilson Pickett"
540,"Lee Brice"
541,"Cher Lloyd"
542,"Icona Pop"
543,"Ellie Goulding"
544,"T-Bone Burnett"
545,"Ben E. King"
546,"Bailongo"
547,"Jet"
548,"David Guetta feat. Sam Martin"
549,"Rolling Stones"
550,"Kevin Rudolf & Lil Wayne"
551,"Amos Lee"
552,"Amerie"
553,"Klaus Hallen"
554,"Earth, Wind and Fire"
555,"Simon and Garfunkel"
556,"Pitbull feat. Kesha"
557,"Barrett Strong"
558,"Robin Thicke feat. T.I. & Pharrell Williams"
559,"Unit 4 + 2"
560,"Big Mama Thornton"
561,"Pyotr Ilyich Tchaikovsky"
562,"Belinda Carlisle"
563,"John Barry"
564,"Santana feat. Pitbull"
565,"Rodrigo y Gabriela with John Tempesta"
566,"Clean Bandit feat. Jess Glynne"
567,"Fulanito"
568,"Queen and David Bowie"
569,"Dinah Shore"
570,"Shania Twain"
571,"Stevie Ray Vaughan"
572,"Frankie Lymon and the Teenagers"
573,"Miguel"
574,"Rick James"
575,"from Cinderella"
576,"Passenger"
577,"The Dovells"
578,"Kid Creole and the Coconuts"
579,"Eliza Doolittle"
580,"Little Mix"
581,"Jonny Lang"
582,"OneRepublic feat. Sara Bareilles"
583,"Elle King"
584,"Lara St. John"
585,"from The Mask"
586,"from Singin' in the Rain"
587,"Shiny Toy Guns"
588,"Jason Aldean"
589,"from Chitty Chitty Bang Bang"
590,"Oscar d'Leon"
591,"Ray Charles & The Blues Brothers"
592,"John Lennon"
593,"Oingo Boingo"
594,"Bruno Mars"
595,"Zedd feat. Foxes"
596,"C+C Music Factory"
597,"Irene Cara"
598,"Skylar Grey"
599,"Cynthia Fee"
600,"from Kinky Boots"
601,"Walk the Moon"
602,"Neil Diamond"
603,"Tito Puente, Jr."
604,"Louis Armstrong & Ella Fitzgerald"
605,"Beyoncé feat. Devin & Solange"
606,"The Righteous Brothers"
607,"Hunter Hayes"
608,"Carrie Underwood"
609,"Jana Kramer"
610,"A Great Big World & Christina Aguilera"
611,"Jurassic 5"
612,"Wisin & Yandel feat. Jennifer Lopez"
613,"Jessie J"
614,"Gene Kelly"
615,"from The Addams Family"
616,"The Drifters"
617,"Flo Rida feat. Sia"
618,"The Eligibles"
619,"RJD2"
620,"Gavin James"
621,"Patti LaBelle"
622,"Red Hot Chili Peppers"
623,"Black Oak Arkansas"
624,"The Jacksons"
625,"Manuel Panella"
626,"Dave Matthews Band"
627,"Michael Giacchino"
628,"Beyoncé & André 3000"
629,"Leonard Bernstein"
630,"Kenny Chesney"
631,"Avicii"
632,"Estelle feat. Janelle Monáe"
633,"Kat DeLuna"
634,"Hayley Westenra"
635,"Rockwell"
636,"Tears for Fears"
637,"Dave Porter"
638,"Larry Elgart"
639,"Vic Mizzy"
640,"Ray Charles & Julia Rinker"
641,"Toby Keith"
642,"Rose Royce"
643,"John Travolta and Olivia Newton-John"
644,"Arthur Murray Orchestra"
645,"Sam Smith"
646,"Dolly Parton & Kenny Rogers"
647,"Chris Brown"
648,"Jimmy Eat World"
649,"Ray Parker Jr."
650,"Gwen Verdon"
651,"P!nk feat. Nate Ruess"
652,"Jace Everett"
653,"Ja'net Dubois"
654,"Mary-Jess Leaverland"
655,"Dick Van Dyke"
656,"Cliff Edwards"
657,"Danny Elfman"
658,"Tammy Wynette"
659,"Timbaland featuring Keri Hilson and D.O.E."
660,"Carmen Miranda"
661,"Chubby Checker"
662,"Run-D.M.C."
663,"Lipps Inc."
664,"Kelis"
665,"Captain & Tennille"
666,"Delbert McClinton"
667,"Usher"
668,"Cody Simpson"
669,"Sam Palladio & Clare Bowen"
670,"Kiki Dee"
671,"Billy Vera & The Beaters"
672,"Sly & The Family Stone"
673,"Lee Roy Reams"
674,"Santa Esmeralda"
675,"Chuck Lorre & Dennis C. Brown"
676,"The Shirelles"
677,"Ariana Grande"
678,"Brad Kane & Lea Salonga"
679,"Klaus Badelt"
680,"Jim Croce"
681,"Rick Springfield"
682,"Dario G"
683,"Elvis Crespo"
684,"Luther Vandross"
685,"Andy Grammer"
686,"Gin Wigmore"
687,"John Legend"
688,"Christina Perri"
689,"Pharrell Williams"
690,"Flo Rida"
691,"Bette Midler"
692,"Tamar Braxton"
693,"Shawn Mendes"
694,"Pat Carroll"
695,"Kristen Bell & Santino Fontana"
696,"Elton John & Britney Spears"
697,"Christina Aguilera, Lil' Kim, Mýa & Pink"
698,"Duck Sauce"
699,"Salt-N-Pepa"
700,"Vishal Dadlani, Hamsika Iyer & Sricharan"
701,"Sweet"
702,"The Big Bopper"
703,"Louis Jordan"
704,"MC Hammer"
705,"Emeli Sandé & The Bryan Ferry Orchestra"
706,"Backstreet Boys"
707,"Ray Chew"
708,"Calvin Harris"
709,"Mr Probz"
710,"Rihanna & Calvin Harris"
711,"Carl Carlton"
712,"Bad Bunny"
713,"Mary Wells"
714,"Usher feat. Nicki Minaj"
715,"Joey Fatone"
716,"Hans Zimmer"
717,"Katy Perry feat. Juicy J"
718,"Black Joe Lewis & the Honeybears"
719,"The Swag Geeks feat. Brook Penning"
720,"Jessie Ware"
721,"Electric Guest"
722,"Tim Armstrong featuring Skye Sweetnam"
723,"Rob Base and DJ E-Z Rock"
724,"Gioachino Rossini"
725,"will.i.am"
726,"Kool & the Gang"
727,"The Wild Party"
728,"Jason Derulo"
729,"Scott Bradlee & Postmodern Jukebox"
730,"Harry Styles"
731,"Musical Youth"
732,"Pharrell feat. Justin Timberlake"
733,"BTS"
734,"Outkast"
735,"Lizzo"
736,"Timbaland feat. Keri Hilson"
737,"Nicole Kidman"
738,"Daft Punk feat. Pharrell Williams"
739,"Aaron Krause feat. Liza Anne"
740,"Black Eyed Peas"
741,"Daft Punk, Pharrell Williams & Nile Rodgers"
742,"Young MC"
743,"Deee-Lite"
744,"Cheryl feat. Tinie Tempah"
745,"Les Tambours du Bronx"
746,"Alex Clare"
747,"The Kid Laroi & Justin Bieber"
748,"Dua Lipa"
749,"Jennifer Lopez & Pitbull"
750,"Emily Wells"
751,"Fun."
752,"Meghan Trainor feat. John Legend"
753,"James Bay"
754,"Jess Glynne"
755,"Cameo"
756,"MGMT"
757,"Megan Thee Stallion"
758,"Celia Cruz"
759,"Enrique Iglesias feat. Gente de Zona, Descemer Bueno & Sean Paul"
760,"John Travolta"
761,"Julie Andrews & Dick Van Dyke"
762,"Jerry Orbach & Angela Lansbury"
763,"Ilene Woods"
764,"Rod Stewart"
765,"Joe Esposito"
766,"Doja Cat feat. SZA"
767,"Fergie & Ludacris"
768,"Paco Peña"
769,"Toni Basil"
770,"The Weeknd"
771,"Bastille"
772,"Arianna feat. Pitbull"
773,"Joe Arroyo"
774,"Jason Weaver, Laura Williams & Rowan Atkinson"
775,"Rod Taylor"
776,"Idina Menzel"
777,"Rihanna featuring Mikky Ekko"
778,"Silk Sonic"
779,"Kanye West"
780,"José Norman"
781,"Cee Lo Green"
782,"P!nk"
783,"Martin Garrix feat. Usher"
784,"Chromeo"
785,"Jennifer Lopez feat. Pitbull"
786,"Louis Prima & Keely Smith"
787,"Ketty Lester"
788,"Alexandra Stan"
789,"The Andrew Sisters"
790,"Samuel E. Wright"
791,"Nelly"
792,"Def Leppard"
793,"Village People"
794,"Ant Clemons & Justin Timberlake"
795,"Des'ree"
796,"Taylor Dayne"
797,"Nicki Minaj"
798,"Debbie Reynolds, Gene Kelly & Donald O'Connor"
799,"Bill Medley & Jennifer Warnes"
800,"Sheppard"
801,"Nikki Yanofsky"
802,"Woodkid"
803,"Was (Not Was)"
804,"Icona Pop feat. Charli XCX"
805,"James Arthur"
806,"Daddy Yankee & Luis Fonsi"
807,"Jimmie Allen"
808,"Jonas Brothers"
809,"Ginuwine"
810,"Ricky Martin feat. Pitbull"
811,"Calvin Harris feat. Ellie Goulding"
812,"Charlie Daniels Band"
813,"The Pierces"
814,"Ella Henderson"
815,"Panjabi MC"
816,"Rodney Atkins"
817,"David Guetta featuring Sia"
818,"Lady Gaga & Ariana Grande"
819,"Donell Jones"
820,"Glee cast"
821,"Jimmy Buffett"
822,"Evanescence feat. Paul McCoy"
823,"Fergie, Q-Tip & GoonRock"
824,"Kate Hudson"
825,"Billie Eilish"
826,"Kongos"
827,"Miranda Lambert & Carrie Underwood"
828,"José Feliciano"
829,"Camila Cabello"
830,"Cardi B, Bad Bunny & J Balvin"
831,"Joss Stone"
832,"Copacabana"
833,"Martin Solveig"
834,"Fantasia Barrino"
835,"Fifth Harmony"
836,"Imagine Dragons"
837,"Lana Del Rey"
838,"The Doors"
839,"Vampire Weekend"
840,"David Hirschfelder & The Bogo Pogo Orchestra"
841,"Chris Cornell"
842,"Garbage"
843,"Gladys Knight"
844,"Quindon Tarver"
845,"BC Jean"
846,"Major Lazer feat. Busy Signal, The Flexican & FS Green"
847,"Shakira feat. Rihanna"
848,"Kyle Jacobs"
849,"Brittany Spears"
850,"The Foundations"
851,"Ramin Djawadi"
852,"Shawn Mendes & Camila Cabello"
853,"Kina Grannis"
854,"Ne-Yo"
855,"Mariah Carey & Whitney Houston"
856,"Marilyn Manson"
857,"Gerard McMann"
858,"Thomas Newman, featuring Tambuco"
859,"Sheena Easton"
860,"David Arnold & Nicholas Dodd"
861,"Awolnation"
862,"Ana Tijoux"
863,"Wisin feat. Ricky Martin & Jennifer Lopez"
864,"Miss Li"
865,"INXS"
866,"Demi Lovato"
867,"Prince & The Revolution"
868,"Carl Orff"
869,"Marc Anthony"
870,"Jack White & Alicia Keys"
871,"Nikki & Rich"
872,"Pitbull feat. Theron Theron"
873,"Aly & AJ"
874,"Andra Day"
875,"Lorde"
876,"Emeli Sandé"
877,"Marie Miller"
878,"Sepalot feat. Ladi6"
879,"Bobby Brown"
880,"Daddy Yankee feat. Snow"
881,"Keala Settle"
882,"Fleetwood Mac"
883,"Ella Mae Bowen"
884,"Haley Reinhart"
885,"Christina Grimmie"
886,"Lillias White, LaChanze, Roz Ryan, Cheryl Freeman & Vanéese Y. Thomas"
887,"Jennifer Lopez feat. DJ Khaled & Cardi B"
888,"Louisa feat. 2 Chainz"
889,"Clairy Browne & the Bangin' Rackettes"
890,"Janelle Monáe"
891,"Wilson Phillips"
892,"Selena"
893,"Lady Gaga & Bradley Cooper"
894,"Saint Jhn"
895,"Rihanna feat. Calvin Harris"
896,"MIKA"
897,"Hugh Jackman, BriaAndChrissy, Keala Settle, Zac Efron & Zendaya"
898,"Benjamin Bratt"
899,"Leslie Odom Jr."
900,"DJ Snake & Lil Jon"
901,"Jason Derulo feat. 2 Chainz"
902,"Waylon Jennings"
903,"The Notorious B.I.G."
904,"Canned Heat"
905,"Meryl Streep"
906,"Lee Ann Womack feat. Sons of the Desert"
907,"Anika Noni Rose"
908,"Rumer Willis"
909,"Cash Cash feat. Julia Michaels"
910,"Joshua Bassett"
911,"Jenifer Lewis"
912,"Dick Van Dyke & Julie Andrews"
913,"X Ambassadors & Jamie N Commons feat. Jay-Z"
914,"Leo Soul"
915,"Kenny Rogers feat. Dolly Parton"
916,"Don Omar feat. Lucenzo"
917,"Donny Osmond"
918,"NONONO"
919,"Cher"
920,"Prince Royce feat. Jennifer Lopez & Pitbull"
921," MKTO"
922," Goodwill & Hook n Sling"
923,"Electric Light Orchestra"
924,"Edoardo Bennato"
925,"Christian TV"
926,"Frankie Valli"
927,"Gregor Salto"
928,"Christina Aguilera & Blake Shelton"
929,"Miley Cyrus"
930,"Avicii feat. Audra Mae"
931,"Santana feat. The Product G&B"
932,"Jason Weaver, Rowan Atkinson & Laura Williams"
933,"Auliʻi Cravalho"
934,"Selena Gomez"
935,"Katrina and the Waves"
936,"Jon Batiste"
937,"Carmen Twillie & Lebo M."
938,"Justin Bieber"
939,"Alexander Jean"
940,"Bette Midler, Sarah Jessica Parker & Kathy Najimy"
941,"Ariana Grande feat. Iggy Azalea"
942,"Armin van Buuren feat. Cimo Fränkel"
943,"Gamu"
944,"Major Lazer feat. The Partysquad"
945,"Bajofondo"
946,"Whitney Myer"
947,"RuPaul"
948,"John Fogerty"
949,"Whitney Houston & Mariah Carey"
950,"Pitbull feat. Papayo"
951,"Carlos Vives"
952,"Christopher Walken"
953,"Tevin Campbell"
954,"James Vincent McMorrow"
955,"Sia"
956,"Soft Cell"
957,"The Baseballs"
958,"Hardwell"
959,"Debbie Gibson"
960,"Fleur East"
961,"Madness"
962,"Ludacris feat. Pharrell Williams"
963,"Lil Nas X feat. Billy Ray Cyrus"
964,"Lily James"
965,"Newsies cast"
966,"DJ Khaled feat. T-Pain, Ludacris, Rick Ross & Snoop Dogg"
967,"Nathan Lanier"
968,"Jessie James Decker"
969,"Calvin Harris feat. John Newman"
970,"Daphne Willis"
971,"Eddie Palmieri"
972,"Jesse Corti & Richard White"
973,"Dove Cameron, Sofia Carson,"
974,"Preservation Hall Jazz Band"
975,"JD McCrary,"
976,"Julie Andrews"
977,"Randy Newman"
978,"Parov Stelar"
979,"Alesso feat. Ryan Tedder"
980,"Empire cast feat. Jussie Smollett & Pitbull"
981,"JP Cooper"
982,"Joni Mitchell"
983,"Matt Beilis"
984,"SBTRKT feat. Ezra Koenig"
985,"Sarah Bockel"
986,"Erin Bowman"
987,"Kesha feat. The Dap-Kings Horns"
988,"Kurtis Blow"
989,"The O'Neill Brothers"
990,"Aloe Blacc"
991,"Bobby McFerrin"
992,"Bruce Adler"
993,"Melora Hardin"
994,"Chiwetel Ejiofor"
995,"Wisin"
996,"John Newman"
997,"Ariana Grande & John Legend"
998,"Cast of High School Musical"
999,"Zayn & Zhavia Ward"
1000,"Luke Combs"
1001,"Jagged Edge, featuring RUN"
