"episode_id","aired_at","season_id","episode_order_in_season"
20130504,"May 4, 2013",38,19
20130413,"April 13, 2013",38,18
20130406,"April 6, 2013",38,17
20130309,"March 9, 2013",38,16
20130302,"March 2, 2013",38,15
20130216,"February 16, 2013",38,14
20130209,"February 9, 2013",38,13
20130126,"January 26, 2013",38,12
20130119,"January 19, 2013",38,11
20121215,"December 15, 2012",38,10
20121208,"December 8, 2012",38,9
20121117,"November 17, 2012",38,8
20121110,"November 10, 2012",38,7
20121103,"November 3, 2012",38,6
20121020,"October 20, 2012",38,5
20121013,"October 13, 2012",38,4
20121006,"October 6, 2012",38,3
20120922,"September 22, 2012",38,2
20120915,"September 15, 2012",38,1
20120519,"May 19, 2012",37,22
20120512,"May 12, 2012",37,21
20120505,"May 5, 2012",37,20
20120414,"April 14, 2012",37,19
20120407,"April 7, 2012",37,18
20120310,"March 10, 2012",37,17
20120303,"March 3, 2012",37,16
20120218,"February 18, 2012",37,15
20120211,"February 11, 2012",37,14
20120204,"February 4, 2012",37,13
20120114,"January 14, 2012",37,12
20120107,"January 7, 2012",37,11
20111217,"December 17, 2011",37,10
20111210,"December 10, 2011",37,9
20111203,"December 3, 2011",37,8
20111119,"November 19, 2011",37,7
20111112,"November 12, 2011",37,6
20111105,"November 5, 2011",37,5
20111015,"October 15, 2011",37,4
20111008,"October 8, 2011",37,3
20111001,"October 1, 2011",37,2
20110924,"September 24, 2011",37,1
20110521,"May 21, 2011",36,22
20110514,"May 14, 2011",36,21
20110507,"May 7, 2011",36,20
20110409,"April 9, 2011",36,19
20110402,"April 2, 2011",36,18
20110312,"March 12, 2011",36,17
20110305,"March 5, 2011",36,16
20110212,"February 12, 2011",36,15
20110205,"February 5, 2011",36,14
20110129,"January 29, 2011",36,13
20110115,"January 15, 2011",36,12
20110108,"January 8, 2011",36,11
20101218,"December 18, 2010",36,10
20101211,"December 11, 2010",36,9
20101204,"December 4, 2010",36,8
20101120,"November 20, 2010",36,7
20101113,"November 13, 2010",36,6
20101030,"October 30, 2010",36,5
20101023,"October 23, 2010",36,4
20101009,"October 9, 2010",36,3
20101002,"October 2, 2010",36,2
20100925,"September 25, 2010",36,1
20100515,"May 15, 2010",35,22
20100508,"May 8, 2010",35,21
20100424,"April 24, 2010",35,20
20100417,"April 17, 2010",35,19
20100410,"April 10, 2010",35,18
20100313,"March 13, 2010",35,17
20100306,"March 6, 2010",35,16
20100227,"February 27, 2010",35,15
20100206,"February 6, 2010",35,14
20100130,"January 30, 2010",35,13
20100116,"January 16, 2010",35,12
20100109,"January 9, 2010",35,11
20091219,"December 19, 2009",35,10
20091212,"December 12, 2009",35,9
20091205,"December 5, 2009",35,8
20091121,"November 21, 2009",35,7
20091114,"November 14, 2009",35,6
20091107,"November 7, 2009",35,5
20091017,"October 17, 2009",35,4
20091010,"October 10, 2009",35,3
20091003,"October 3, 2009",35,2
20090926,"September 26, 2009",35,1
20090516,"May 16, 2009",34,22
20090509,"May 9, 2009",34,21
20090411,"April 11, 2009",34,20
20090404,"April 4, 2009",34,19
20090314,"March 14, 2009",34,18
20090307,"March 7, 2009",34,17
20090214,"February 14, 2009",34,16
20090207,"February 7, 2009",34,15
20090131,"January 31, 2009",34,14
20090117,"January 17, 2009",34,13
20090110,"January 10, 2009",34,12
20081213,"December 13, 2008",34,11
20081206,"December 6, 2008",34,10
20081122,"November 22, 2008",34,9
20081115,"November 15, 2008",34,8
20081101,"November 1, 2008",34,7
20081025,"October 25, 2008",34,6
20081018,"October 18, 2008",34,5
20081004,"October 4, 2008",34,4
20080927,"September 27, 2008",34,3
20080920,"September 20, 2008",34,2
20080913,"September 13, 2008",34,1
20080517,"May 17, 2008",33,12
20080510,"May 10, 2008",33,11
20080412,"April 12, 2008",33,10
20080405,"April 5, 2008",33,9
20080315,"March 15, 2008",33,8
20080308,"March 8, 2008",33,7
20080301,"March 1, 2008",33,6
20080223,"February 23, 2008",33,5
20071103,"November 3, 2007",33,4
20071013,"October 13, 2007",33,3
20071006,"October 6, 2007",33,2
20070929,"September 29, 2007",33,1
20070519,"May 19, 2007",32,20
20070512,"May 12, 2007",32,19
20070421,"April 21, 2007",32,18
20070414,"April 14, 2007",32,17
20070324,"March 24, 2007",32,16
20070317,"March 17, 2007",32,15
20070224,"February 24, 2007",32,14
20070210,"February 10, 2007",32,13
20070203,"February 3, 2007",32,12
20070120,"January 20, 2007",32,11
20070113,"January 13, 2007",32,10
20061216,"December 16, 2006",32,9
20061209,"December 9, 2006",32,8
20061202,"December 2, 2006",32,7
20061118,"November 18, 2006",32,6
20061111,"November 11, 2006",32,5
20061028,"October 28, 2006",32,4
20061021,"October 21, 2006",32,3
20061007,"October 7, 2006",32,2
20060930,"September 30, 2006",32,1
20060520,"May 20, 2006",31,19
20060513,"May 13, 2006",31,18
20060506,"May 6, 2006",31,17
20060415,"April 15, 2006",31,16
20060408,"April 8, 2006",31,15
20060311,"March 11, 2006",31,14
20060304,"March 4, 2006",31,13
20060204,"February 4, 2006",31,12
20060121,"January 21, 2006",31,11
20060114,"January 14, 2006",31,10
20051217,"December 17, 2005",31,9
20051210,"December 10, 2005",31,8
20051203,"December 3, 2005",31,7
20051119,"November 19, 2005",31,6
20051112,"November 12, 2005",31,5
20051029,"October 29, 2005",31,4
20051022,"October 22, 2005",31,3
20051008,"October 8, 2005",31,2
20051001,"October 1, 2005",31,1
20050521,"May 21, 2005",30,20
20050514,"May 14, 2005",30,19
20050507,"May 7, 2005",30,18
20050416,"April 16, 2005",30,17
20050409,"April 9, 2005",30,16
20050319,"March 19, 2005",30,15
20050312,"March 12, 2005",30,14
20050219,"February 19, 2005",30,13
20050212,"February 12, 2005",30,12
20050205,"February 5, 2005",30,11
20050122,"January 22, 2005",30,10
20050115,"January 15, 2005",30,9
20041218,"December 18, 2004",30,8
20041211,"December 11, 2004",30,7
20041120,"November 20, 2004",30,6
20041113,"November 13, 2004",30,5
20041030,"October 30, 2004",30,4
20041023,"October 23, 2004",30,3
20041009,"October 9, 2004",30,2
20041002,"October 2, 2004",30,1
20040515,"May 15, 2004",29,20
20040508,"May 8, 2004",29,19
20040501,"May 1, 2004",29,18
20040410,"April 10, 2004",29,17
20040403,"April 3, 2004",29,16
20040313,"March 13, 2004",29,15
20040306,"March 6, 2004",29,14
20040221,"February 21, 2004",29,13
20040214,"February 14, 2004",29,12
20040207,"February 7, 2004",29,11
20040117,"January 17, 2004",29,10
20040110,"January 10, 2004",29,9
20031213,"December 13, 2003",29,8
20031206,"December 6, 2003",29,7
20031115,"November 15, 2003",29,6
20031108,"November 8, 2003",29,5
20031101,"November 1, 2003",29,4
20031018,"October 18, 2003",29,3
20031011,"October 11, 2003",29,2
20031004,"October 4, 2003",29,1
20030517,"May 17, 2003",28,20
20030510,"May 10, 2003",28,19
20030503,"May 3, 2003",28,18
20030412,"April 12, 2003",28,17
20030405,"April 5, 2003",28,16
20030315,"March 15, 2003",28,15
20030308,"March 8, 2003",28,14
20030222,"February 22, 2003",28,13
20030215,"February 15, 2003",28,12
20030208,"February 8, 2003",28,11
20030118,"January 18, 2003",28,10
20030111,"January 11, 2003",28,9
20021214,"December 14, 2002",28,8
20021207,"December 7, 2002",28,7
20021116,"November 16, 2002",28,6
20021109,"November 9, 2002",28,5
20021102,"November 2, 2002",28,4
20021019,"October 19, 2002",28,3
20021012,"October 12, 2002",28,2
20021005,"October 5, 2002",28,1
20020518,"May 18, 2002",27,20
20020511,"May 11, 2002",27,19
20020420,"April 20, 2002",27,18
20020413,"April 13, 2002",27,17
20020406,"April 6, 2002",27,16
20020316,"March 16, 2002",27,15
20020309,"March 9, 2002",27,14
20020302,"March 2, 2002",27,13
20020202,"February 2, 2002",27,12
20020119,"January 19, 2002",27,11
20020112,"January 12, 2002",27,10
20011215,"December 15, 2001",27,9
20011208,"December 8, 2001",27,8
20011201,"December 1, 2001",27,7
20011117,"November 17, 2001",27,6
20011110,"November 10, 2001",27,5
20011103,"November 3, 2001",27,4
20011013,"October 13, 2001",27,3
20011006,"October 6, 2001",27,2
20010929,"September 29, 2001",27,1
20010519,"May 19, 2001",26,20
20010512,"May 12, 2001",26,19
20010505,"May 5, 2001",26,18
20010414,"April 14, 2001",26,17
20010407,"April 7, 2001",26,16
20010317,"March 17, 2001",26,15
20010310,"March 10, 2001",26,14
20010224,"February 24, 2001",26,13
20010217,"February 17, 2001",26,12
20010210,"February 10, 2001",26,11
20010120,"January 20, 2001",26,10
20010113,"January 13, 2001",26,9
20001216,"December 16, 2000",26,8
20001209,"December 9, 2000",26,7
20001118,"November 18, 2000",26,6
20001111,"November 11, 2000",26,5
20001104,"November 4, 2000",26,4
20001021,"October 21, 2000",26,3
20001014,"October 14, 2000",26,2
20001007,"October 7, 2000",26,1
20000520,"May 20, 2000",25,20
20000513,"May 13, 2000",25,19
20000506,"May 6, 2000",25,18
20000415,"April 15, 2000",25,17
20000408,"April 8, 2000",25,16
20000318,"March 18, 2000",25,15
20000311,"March 11, 2000",25,14
20000219,"February 19, 2000",25,13
20000212,"February 12, 2000",25,12
20000205,"February 5, 2000",25,11
20000115,"January 15, 2000",25,10
20000108,"January 8, 2000",25,9
19991211,"December 11, 1999",25,8
19991204,"December 4, 1999",25,7
19991120,"November 20, 1999",25,6
19991113,"November 13, 1999",25,5
19991106,"November 6, 1999",25,4
19991023,"October 23, 1999",25,3
19991016,"October 16, 1999",25,2
19991002,"October 2, 1999",25,1
19990515,"May 15, 1999",24,19
19990508,"May 8, 1999",24,18
19990410,"April 10, 1999",24,17
19990320,"March 20, 1999",24,16
19990313,"March 13, 1999",24,15
19990220,"February 20, 1999",24,14
19990213,"February 13, 1999",24,13
19990206,"February 6, 1999",24,12
19990116,"January 16, 1999",24,11
19990109,"January 9, 1999",24,10
19981212,"December 12, 1998",24,9
19981205,"December 5, 1998",24,8
19981121,"November 21, 1998",24,7
19981114,"November 14, 1998",24,6
19981107,"November 7, 1998",24,5
19981024,"October 24, 1998",24,4
19981017,"October 17, 1998",24,3
19981003,"October 3, 1998",24,2
19980926,"September 26, 1998",24,1
19980509,"May 9, 1998",23,20
19980502,"May 2, 1998",23,19
19980411,"April 11, 1998",23,18
19980404,"April 4, 1998",23,17
19980314,"March 14, 1998",23,16
19980307,"March 7, 1998",23,15
19980228,"February 28, 1998",23,14
19980214,"February 14, 1998",23,13
19980207,"February 7, 1998",23,12
19980117,"January 17, 1998",23,11
19980110,"January 10, 1998",23,10
19971213,"December 13, 1997",23,9
19971206,"December 6, 1997",23,8
19971122,"November 22, 1997",23,7
19971115,"November 15, 1997",23,6
19971108,"November 8, 1997",23,5
19971025,"October 25, 1997",23,4
19971018,"October 18, 1997",23,3
19971004,"October 4, 1997",23,2
19970927,"September 27, 1997",23,1
19970517,"May 17, 1997",22,20
19970510,"May 10, 1997",22,19
19970419,"April 19, 1997",22,18
19970412,"April 12, 1997",22,17
19970322,"March 22, 1997",22,16
19970315,"March 15, 1997",22,15
19970222,"February 22, 1997",22,14
19970215,"February 15, 1997",22,13
19970208,"February 8, 1997",22,12
19970118,"January 18, 1997",22,11
19970111,"January 11, 1997",22,10
19961214,"December 14, 1996",22,9
19961207,"December 7, 1996",22,8
19961123,"November 23, 1996",22,7
19961116,"November 16, 1996",22,6
19961102,"November 2, 1996",22,5
19961026,"October 26, 1996",22,4
19961019,"October 19, 1996",22,3
19961005,"October 5, 1996",22,2
19960928,"September 28, 1996",22,1
19960518,"May 18, 1996",21,20
19960511,"May 11, 1996",21,19
19960420,"April 20, 1996",21,18
19960413,"April 13, 1996",21,17
19960323,"March 23, 1996",21,16
19960316,"March 16, 1996",21,15
19960224,"February 24, 1996",21,14
19960217,"February 17, 1996",21,13
19960210,"February 10, 1996",21,12
19960120,"January 20, 1996",21,11
19960113,"January 13, 1996",21,10
19951216,"December 16, 1995",21,9
19951209,"December 9, 1995",21,8
19951202,"December 2, 1995",21,7
19951118,"November 18, 1995",21,6
19951111,"November 11, 1995",21,5
19951028,"October 28, 1995",21,4
19951021,"October 21, 1995",21,3
19951007,"October 7, 1995",21,2
19950930,"September 30, 1995",21,1
19950513,"May 13, 1995",20,20
19950506,"May 6, 1995",20,19
19950415,"April 15, 1995",20,18
19950408,"April 8, 1995",20,17
19950325,"March 25, 1995",20,16
19950318,"March 18, 1995",20,15
19950225,"February 25, 1995",20,14
19950218,"February 18, 1995",20,13
19950211,"February 11, 1995",20,12
19950121,"January 21, 1995",20,11
19950114,"January 14, 1995",20,10
19941217,"December 17, 1994",20,9
19941210,"December 10, 1994",20,8
19941203,"December 3, 1994",20,7
19941119,"November 19, 1994",20,6
19941112,"November 12, 1994",20,5
19941022,"October 22, 1994",20,4
19941015,"October 15, 1994",20,3
19941001,"October 1, 1994",20,2
19940924,"September 24, 1994",20,1
19940514,"May 14, 1994",19,20
19940507,"May 7, 1994",19,19
19940416,"April 16, 1994",19,18
19940409,"April 9, 1994",19,17
19940319,"March 19, 1994",19,16
19940312,"March 12, 1994",19,15
19940219,"February 19, 1994",19,14
19940212,"February 12, 1994",19,13
19940205,"February 5, 1994",19,12
19940115,"January 15, 1994",19,11
19940108,"January 8, 1994",19,10
19931211,"December 11, 1993",19,9
19931204,"December 4, 1993",19,8
19931120,"November 20, 1993",19,7
19931113,"November 13, 1993",19,6
19931030,"October 30, 1993",19,5
19931023,"October 23, 1993",19,4
19931009,"October 9, 1993",19,3
19931002,"October 2, 1993",19,2
19930925,"September 25, 1993",19,1
19930515,"May 15, 1993",18,20
19930508,"May 8, 1993",18,19
19930417,"April 17, 1993",18,18
19930410,"April 10, 1993",18,17
19930320,"March 20, 1993",18,16
19930313,"March 13, 1993",18,15
19930220,"February 20, 1993",18,14
19930213,"February 13, 1993",18,13
19930206,"February 6, 1993",18,12
19930116,"January 16, 1993",18,11
19930109,"January 9, 1993",18,10
19921212,"December 12, 1992",18,9
19921205,"December 5, 1992",18,8
19921121,"November 21, 1992",18,7
19921114,"November 14, 1992",18,6
19921031,"October 31, 1992",18,5
19921024,"October 24, 1992",18,4
19921010,"October 10, 1992",18,3
19921003,"October 3, 1992",18,2
19920926,"September 26, 1992",18,1
19920516,"May 16, 1992",17,20
19920509,"May 9, 1992",17,19
19920418,"April 18, 1992",17,18
19920411,"April 11, 1992",17,17
19920321,"March 21, 1992",17,16
19920314,"March 14, 1992",17,15
19920222,"February 22, 1992",17,14
19920215,"February 15, 1992",17,13
19920208,"February 8, 1992",17,12
19920118,"January 18, 1992",17,11
19920111,"January 11, 1992",17,10
19911214,"December 14, 1991",17,9
19911207,"December 7, 1991",17,8
19911123,"November 23, 1991",17,7
19911116,"November 16, 1991",17,6
19911102,"November 2, 1991",17,5
19911026,"October 26, 1991",17,4
19911012,"October 12, 1991",17,3
19911005,"October 5, 1991",17,2
19910928,"September 28, 1991",17,1
19910518,"May 18, 1991",16,20
19910511,"May 11, 1991",16,19
19910420,"April 20, 1991",16,18
19910413,"April 13, 1991",16,17
19910323,"March 23, 1991",16,16
19910316,"March 16, 1991",16,15
19910223,"February 23, 1991",16,14
19910216,"February 16, 1991",16,13
19910209,"February 9, 1991",16,12
19910119,"January 19, 1991",16,11
19910112,"January 12, 1991",16,10
19901215,"December 15, 1990",16,9
19901208,"December 8, 1990",16,8
19901201,"December 1, 1990",16,7
19901117,"November 17, 1990",16,6
19901110,"November 10, 1990",16,5
19901027,"October 27, 1990",16,4
19901020,"October 20, 1990",16,3
19901006,"October 6, 1990",16,2
19900929,"September 29, 1990",16,1
19900519,"May 19, 1990",15,20
19900512,"May 12, 1990",15,19
19900421,"April 21, 1990",15,18
19900414,"April 14, 1990",15,17
19900324,"March 24, 1990",15,16
19900317,"March 17, 1990",15,15
19900224,"February 24, 1990",15,14
19900217,"February 17, 1990",15,13
19900210,"February 10, 1990",15,12
19900120,"January 20, 1990",15,11
19900113,"January 13, 1990",15,10
19891216,"December 16, 1989",15,9
19891209,"December 9, 1989",15,8
19891202,"December 2, 1989",15,7
19891118,"November 18, 1989",15,6
19891111,"November 11, 1989",15,5
19891028,"October 28, 1989",15,4
19891021,"October 21, 1989",15,3
19891007,"October 7, 1989",15,2
19890930,"September 30, 1989",15,1
19890520,"May 20, 1989",14,20
19890513,"May 13, 1989",14,19
19890422,"April 22, 1989",14,18
19890415,"April 15, 1989",14,17
19890401,"April 1, 1989",14,16
19890325,"March 25, 1989",14,15
19890225,"February 25, 1989",14,14
19890218,"February 18, 1989",14,13
19890211,"February 11, 1989",14,12
19890128,"January 28, 1989",14,11
19890121,"January 21, 1989",14,10
19881217,"December 17, 1988",14,9
19881210,"December 10, 1988",14,8
19881203,"December 3, 1988",14,7
19881119,"November 19, 1988",14,6
19881112,"November 12, 1988",14,5
19881105,"November 5, 1988",14,4
19881022,"October 22, 1988",14,3
19881015,"October 15, 1988",14,2
19881008,"October 8, 1988",14,1
19880227,"February 27, 1988",13,13
19880220,"February 20, 1988",13,12
19880213,"February 13, 1988",13,11
19880130,"January 30, 1988",13,10
19880123,"January 23, 1988",13,9
19871219,"December 19, 1987",13,8
19871212,"December 12, 1987",13,7
19871205,"December 5, 1987",13,6
19871121,"November 21, 1987",13,5
19871114,"November 14, 1987",13,4
19871031,"October 31, 1987",13,3
19871024,"October 24, 1987",13,2
19871017,"October 17, 1987",13,1
19870523,"May 23, 1987",12,20
19870516,"May 16, 1987",12,19
19870509,"May 9, 1987",12,18
19870418,"April 18, 1987",12,17
19870411,"April 11, 1987",12,16
19870328,"March 28, 1987",12,15
19870321,"March 21, 1987",12,14
19870228,"February 28, 1987",12,13
19870221,"February 21, 1987",12,12
19870214,"February 14, 1987",12,11
19870131,"January 31, 1987",12,10
19870124,"January 24, 1987",12,9
19861220,"December 20, 1986",12,8
19861213,"December 13, 1986",12,7
19861206,"December 6, 1986",12,6
19861122,"November 22, 1986",12,5
19861115,"November 15, 1986",12,4
19861108,"November 8, 1986",12,3
19861018,"October 18, 1986",12,2
19861011,"October 11, 1986",12,1
19860524,"May 24, 1986",11,18
19860517,"May 17, 1986",11,17
19860510,"May 10, 1986",11,16
19860419,"April 19, 1986",11,15
19860412,"April 12, 1986",11,14
19860322,"March 22, 1986",11,13
19860315,"March 15, 1986",11,12
19860222,"February 22, 1986",11,11
19860215,"February 15, 1986",11,10
19860208,"February 8, 1986",11,9
19860125,"January 25, 1986",11,8
19860118,"January 18, 1986",11,7
19851221,"December 21, 1985",11,6
19851214,"December 14, 1985",11,5
19851207,"December 7, 1985",11,4
19851123,"November 23, 1985",11,3
19851116,"November 16, 1985",11,2
19851109,"November 9, 1985",11,1
19850413,"April 13, 1985",10,17
19850406,"April 6, 1985",10,16
19850330,"March 30, 1985",10,15
19850216,"February 16, 1985",10,14
19850209,"February 9, 1985",10,13
19850202,"February 2, 1985",10,12
19850119,"January 19, 1985",10,11
19850112,"January 12, 1985",10,10
19841215,"December 15, 1984",10,9
19841208,"December 8, 1984",10,8
19841201,"December 1, 1984",10,7
19841117,"November 17, 1984",10,6
19841110,"November 10, 1984",10,5
19841103,"November 3, 1984",10,4
19841020,"October 20, 1984",10,3
19841013,"October 13, 1984",10,2
19841006,"October 6, 1984",10,1
19840512,"May 12, 1984",9,19
19840505,"May 5, 1984",9,18
19840414,"April 14, 1984",9,17
19840407,"April 7, 1984",9,16
19840317,"March 17, 1984",9,15
19840225,"February 25, 1984",9,14
19840218,"February 18, 1984",9,13
19840211,"February 11, 1984",9,12
19840128,"January 28, 1984",9,11
19840121,"January 21, 1984",9,10
19840114,"January 14, 1984",9,9
19831210,"December 10, 1983",9,8
19831203,"December 3, 1983",9,7
19831119,"November 19, 1983",9,6
19831112,"November 12, 1983",9,5
19831105,"November 5, 1983",9,4
19831022,"October 22, 1983",9,3
19831015,"October 15, 1983",9,2
19831008,"October 8, 1983",9,1
19830514,"May 14, 1983",8,20
19830507,"May 7, 1983",8,19
19830416,"April 16, 1983",8,18
19830409,"April 9, 1983",8,17
19830319,"March 19, 1983",8,16
19830312,"March 12, 1983",8,15
19830226,"February 26, 1983",8,14
19830219,"February 19, 1983",8,13
19830205,"February 5, 1983",8,12
19830129,"January 29, 1983",8,11
19830122,"January 22, 1983",8,10
19821211,"December 11, 1982",8,9
19821204,"December 4, 1982",8,8
19821120,"November 20, 1982",8,7
19821113,"November 13, 1982",8,6
19821030,"October 30, 1982",8,5
19821023,"October 23, 1982",8,4
19821009,"October 9, 1982",8,3
19821002,"October 2, 1982",8,2
19820925,"September 25, 1982",8,1
19820522,"May 22, 1982",7,20
19820515,"May 15, 1982",7,19
19820424,"April 24, 1982",7,18
19820417,"April 17, 1982",7,17
19820410,"April 10, 1982",7,16
19820327,"March 27, 1982",7,15
19820320,"March 20, 1982",7,14
19820227,"February 27, 1982",7,13
19820220,"February 20, 1982",7,12
19820206,"February 6, 1982",7,11
19820130,"January 30, 1982",7,10
19820123,"January 23, 1982",7,9
19811212,"December 12, 1981",7,8
19811205,"December 5, 1981",7,7
19811114,"November 14, 1981",7,6
19811107,"November 7, 1981",7,5
19811031,"October 31, 1981",7,4
19811017,"October 17, 1981",7,3
19811010,"October 10, 1981",7,2
19811003,"October 3, 1981",7,1
19810411,"April 11, 1981",6,13
19810307,"March 7, 1981",6,12
19810221,"February 21, 1981",6,11
19810214,"February 14, 1981",6,10
19810207,"February 7, 1981",6,9
19810124,"January 24, 1981",6,8
19810117,"January 17, 1981",6,7
19810110,"January 10, 1981",6,6
19801220,"December 20, 1980",6,5
19801213,"December 13, 1980",6,4
19801206,"December 6, 1980",6,3
19801122,"November 22, 1980",6,2
19801115,"November 15, 1980",6,1
19800524,"May 24, 1980",5,20
19800517,"May 17, 1980",5,19
19800510,"May 10, 1980",5,18
19800419,"April 19, 1980",5,17
19800412,"April 12, 1980",5,16
19800405,"April 5, 1980",5,15
19800315,"March 15, 1980",5,14
19800308,"March 8, 1980",5,13
19800223,"February 23, 1980",5,12
19800216,"February 16, 1980",5,11
19800209,"February 9, 1980",5,10
19800126,"January 26, 1980",5,9
19791222,"December 22, 1979",5,8
19791215,"December 15, 1979",5,7
19791208,"December 8, 1979",5,6
19791117,"November 17, 1979",5,5
19791110,"November 10, 1979",5,4
19791103,"November 3, 1979",5,3
19791020,"October 20, 1979",5,2
